age,income,loan_amount,credit_history,loan_to_income,default
59,2131.0693163006263,17154.964761507075,17,8.049932787398387,1
49,2885.3343656505394,7484.150174977166,6,2.5938588830725546,1
35,4135.752581351892,11603.027530265746,15,2.8055419907331487,1
63,8129.2394823215,29584.972172468028,13,3.639328406649342,1
28,4506.498675802249,18994.897971495287,18,4.215001343168887,1
41,4062.8621544036005,12282.281186856762,11,3.0230612607775553,1
59,1653.0304006477704,18524.858055759512,13,11.206604578173641,1
39,3686.630419779778,17141.310905689672,1,4.649587551201732,1
43,2534.1272920183396,8284.48276918499,18,3.269165994651635,1
31,2993.6403381544,12049.534011823409,5,4.0250439768098625,0
31,5239.901360317485,33036.28881686293,6,6.304753953395272,1
44,4197.671588777645,18136.020667573128,1,4.320495370828738,1
56,8398.988905342692,2447.6639095236587,7,0.29142363885808586,0
60,7156.006745414954,19081.681185971287,4,2.6665264392319687,1
44,3782.232124379322,25424.70618422357,9,6.722143260415529,1
23,3166.36431651897,7764.97455877818,15,2.4523313752205302,0
42,7765.283871328385,11345.26162653216,6,1.4610234235508195,1
22,8320.084978966966,26630.167639668143,17,3.200708611389037,1
44,1000.0,15279.299750609844,18,15.279299750609844,1
64,5185.715247943403,13856.974217669682,4,2.672143292704937,1
50,4496.243384206546,4311.535760972169,9,0.958919567414171,1
58,6298.240280119874,23564.53046784694,14,3.741446724766499,1
22,8885.336248323008,13492.247705994983,3,1.5184847628632479,0
41,4031.8859613444033,1000.0,1,0.24802288794560975,0
53,1000.0,2418.8998818699674,11,2.4188998818699674,0
32,6158.015400298527,10507.355078538418,1,1.7062891849911652,1
42,7779.928137208405,6417.261654698916,12,0.8248484486646631,0
64,4392.480436960451,7672.305970400173,9,1.7466909825805226,0
45,3589.925039720678,33757.35916242744,5,9.403360457090216,1
47,4125.481189244601,20660.18410932883,15,5.0079452945249825,1
62,6700.41073426247,1000.0,18,0.14924458210994618,1
48,4091.078117430039,12485.42471023598,9,3.051866611160962,1
36,5657.520600685691,14284.052741169055,13,2.5247902304479157,0
35,5055.60583147988,3184.528528506926,13,0.6299004777385401,0
64,4849.240775154468,19275.090444287544,13,3.9748676830082856,1
23,6402.584653504466,1000.0,10,0.1561869235813459,1
57,4042.840200271611,23775.575662162963,10,5.880909084797772,1
27,4138.826879635442,26532.239853783074,7,6.410570102444125,1
41,6595.2056999995075,33820.680631656025,5,5.128070627373844,1
29,3026.149351662695,2405.3659661366964,7,0.7948602949207005,1
59,3239.5596183553457,4032.821131998913,10,1.2448670829050181,1
38,2479.3714173128133,20541.376274021848,10,8.284912914050189,0
24,6698.021826553107,24461.44044052782,13,3.652039523603047,1
45,4789.526063837465,21471.621290868577,15,4.483036735719334,1
34,2372.7697078418673,23637.736057554084,6,9.962086071578176,1
29,6707.617124618137,26014.618895720272,12,3.87836968216955,0
46,3888.915676849129,16618.00316423386,19,4.273171378634282,1
22,3256.6438423262293,13299.60069263526,11,4.083836408446593,1
40,4608.642882246096,4054.58233659677,6,0.8797779390145987,1
48,7957.447218935783,12615.156758273612,1,1.5853271044329647,1
27,4210.075607006859,13840.89278135283,2,3.287563947383114,0
64,6150.677728231169,7402.523413405959,15,1.2035297150148039,0
28,6454.160040901907,14694.206390743488,4,2.27670313373421,0
55,5886.546596012812,6500.968263364139,5,1.1043772706679156,0
34,7542.143299348524,23906.65869077736,15,3.1697433662977965,0
